217,海蒂和爷爷,阿兰·葛斯彭纳,2015
218,无耻混蛋,Quentin,2009
219,东京物语,小津安二郎,1953
220,城市之光,Charles,1931
221,绿里奇迹,Frank,1999
222,彗星来的那一夜,詹姆斯·沃德·布柯特,2013
223,血钻,爱德华·兹威克,2006
224,这个男人来自地球,理查德·沙因克曼,2007
225,E.T. 外星人,Steven,1982
226,末路狂花,雷德利·斯科特,1991
227,2001太空漫游,斯坦利·库布里克,1968
228,聚焦,托马斯·麦卡锡,2015
229,勇闯夺命岛,迈克尔·贝,1996
230,变脸,吴宇森,1997
231,发条橙,Stanley,1971
232,秒速5厘米,新海诚,2007
233,黄金三镖客,Sergio,1966
234,黑鹰坠落,雷德利·斯科特,2001
235,功夫,周星驰,2004
236,非常嫌疑犯,布莱恩·辛格,1995
237,卡萨布兰卡,迈克尔·柯蒂兹,1942
238,我爱你,秋昌民,2011
239,国王的演讲,汤姆·霍珀,2010
240,千钧一发,安德鲁·尼科尔,1997
241,美国丽人,萨姆·门德斯,1999
242,疯狂的麦克斯4：狂暴之路,乔治·米勒,2015
243,遗愿清单,罗伯·莱纳,2007
244,奇迹男孩,斯蒂芬·卓博斯基,2017
245,碧海蓝天,Luc,1988
246,荒岛余生,罗伯特·泽米吉斯,2000
247,驴得水,周申,2016
248,枪火,杜琪峰,1999
249,英国病人,安东尼·明格拉,1996
250,荒野生存,西恩·潘,2007
